cutoff_C,kappa
1.0,0.12341315879951069
1.2,0.22571809900082487
1.4,0.32983389128357554
1.5999999999999999,0.4460800604554467
1.7999999999999998,0.5854728944602472
1.9999999999999998,0.7420242178327996
2.1999999999999997,0.9074309731369055
2.3999999999999995,1.0765002815840057
2.5999999999999996,1.2467993084770679
2.8,1.4175326842208862
2.9999999999999996,1.5887740387465095
3.1999999999999993,1.7610401866350207
3.3999999999999995,1.9350686817896816
3.5999999999999996,2.111702643239411
3.7999999999999994,2.2918295525606767
3.999999999999999,2.4763460474840358
4.199999999999999,2.666134253629263
4.3999999999999995,2.8620423954638916
4.6,3.0648664839832684
4.799999999999999,3.275332381173844
4.999999999999999,3.494079171688983
5.199999999999999,3.721645717795212
5.399999999999999,3.95846250330949
5.599999999999999,4.204850359517277
5.799999999999999,4.461026552703825
5.999999999999999,4.727117352267432
